Subblock;Scene;Tile;T;Z;C;X [micron];Y [micron];Z [micron];Time [s];xstart;ystart;xwidth;ywidth
138;69;0;0;0;0;22270.98;53439.123;745.179;165.68547701835632;39564;98606;1960;1416
139;69;0;0;0;1;22270.98;53439.123;745.179;166.0304958820343;39564;98606;1960;1416
140;70;0;0;0;0;13238.628;53428.087;743.066;167.76359486579895;19806;98582;1960;1416
141;70;0;0;0;1;13238.628;53428.087;743.066;168.10961484909058;19806;98582;1960;1416
142;71;0;0;0;0;4206.248;53417.052;736.969;170.13173079490662;48;98558;1960;1416
143;71;0;0;0;1;4206.248;53417.052;736.969;170.4767508506775;48;98558;1960;1416
144;72;0;0;0;0;4195.238;62428.182;738.904;172.05684089660645;24;118269;1960;1416
145;72;0;0;0;1;4195.238;62428.182;738.904;172.400860786438;24;118269;1960;1416
146;73;0;0;0;0;13227.62;62439.217;741.553;174.40597486495972;19782;118293;1960;1416
147;73;0;0;0;1;13227.62;62439.217;741.553;174.74999499320984;19782;118293;1960;1416
148;74;0;0;0;0;22259.972;62450.252;742.459;176.73510885238647;39540;118318;1960;1416
149;74;0;0;0;1;22259.972;62450.252;742.459;177.09112882614136;39540;118318;1960;1416
150;75;0;0;0;0;31292.355;62461.287;742.918;178.81922793388367;59298;118342;1960;1416
151;75;0;0;0;1;31292.355;62461.287;742.918;179.17124795913696;59298;118342;1960;1416
152;76;0;0;0;0;40324.729;62472.322;739.109;181.3123698234558;79056;118366;1960;1416
153;76;0;0;0;1;40324.729;62472.322;739.109;181.66138982772827;79056;118366;1960;1416
154;77;0;0;0;0;49357.092;62483.357;732.839;183.72650790214539;98814;118390;1960;1416
155;77;0;0;0;1;49357.092;62483.357;732.839;184.07552790641785;98814;118390;1960;1416
156;78;0;0;0;0;58389.473;62494.392;726.641;186.0976438522339;118572;118414;1960;1416
157;78;0;0;0;1;58389.473;62494.392;726.641;186.44666385650635;118572;118414;1960;1416
158;79;0;0;0;0;67421.844;62505.428;720.312;188.44077801704407;138330;118438;1960;1416
159;79;0;0;0;1;67421.844;62505.428;720.312;188.78779792785645;138330;118438;1960;1416
160;80;0;0;0;0;76454.212;62516.463;709.217;190.78091192245483;158088;118462;1960;1416
161;80;0;0;0;1;76454.212;62516.463;709.217;191.13093185424805;158088;118462;1960;1416
162;81;0;0;0;0;85486.596;62527.498;697.546;193.1620478630066;177846;118487;1960;1416
163;81;0;0;0;1;85486.596;62527.498;697.546;193.51706790924072;177846;118487;1960;1416
164;82;0;0;0;0;94518.962;62538.533;683.645;195.56318497657776;197604;118511;1960;1416
165;82;0;0;0;1;94518.962;62538.533;683.645;195.94020700454712;197604;118511;1960;1416
166;83;0;0;0;0;103551.333;62549.568;661.449;198.01132488250732;217362;118535;1960;1416
167;83;0;0;0;1;103551.333;62549.568;661.449;198.36234593391418;217362;118535;1960;1416
168;84;0;0;0;0;103540.324;71560.697;648.708;199.96143698692322;217338;138246;1960;1416
169;84;0;0;0;1;103540.324;71560.697;648.708;200.31045699119568;217338;138246;1960;1416
170;85;0;0;0;0;94507.953;71549.662;669.49;202.96160888671875;197580;138222;1960;1416
